,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned
0,2,164.0,audi,std,four,sedan,fwd,front,99.8,0.8716683119447186,0.9232914923291492,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,9.791666666666666,Medium
1,2,164.0,audi,std,four,sedan,4wd,front,99.4,0.8716683119447186,0.9260808926080893,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,13.055555555555555,Medium
2,1,158.0,audi,std,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,12.368421052631579,Medium
3,1,158.0,audi,turbo,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,13.823529411764707,Medium
4,2,192.0,bmw,std,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,10.217391304347826,Medium
5,0,192.0,bmw,std,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,10.217391304347826,Medium
6,0,188.0,bmw,std,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,11.19047619047619,Medium
7,0,188.0,bmw,std,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,11.19047619047619,Medium
8,2,121.0,chevrolet,std,two,hatchback,fwd,front,88.4,0.6964461994076999,0.8410041841004183,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151.0,5.0,Low
9,1,98.0,chevrolet,std,two,hatchback,fwd,front,94.5,0.7694965449160909,0.8870292887029289,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295.0,6.184210526315789,Low
